PostId,"GROUP_CONCAT(Text SEPARATOR ' ')"
88630,"This is discussed for a general model category in my answer to this question and in the comments after my answer: http://mathoverflow.net/questions/86016/alternative-characterization-of-homotopy-equivalence/86032#86032

It is not true that weak equivalences satisfy the calculus of fractions in general but this does hold after you apply the homotopy relation. Another good resource is the nLab article. Unfortunately I don't know how to make $W$ admit a calculus of fractions itself before applying the homotopy relation. Indeed this is one of the main motivations for having a model category to begin with- to avoid the calculus of fractions and set-theoretic concerns. There is something called a ""three-arrow calculus"" which works in any model category.  This is formalized in the book by Dwyer Kan Hirschhorn & Smith (AMS monograph.)  This is perhaps not the kind of calculus of fractions you would like but is probably the best you can do for an arbitrary model category. The simplest description of the homotopy categ"
88632,"Even when $a = 1$ and $b = 0$ there is no simple closed form for this. There is however a sizable literature on the asymptotics of such expressions; see for instance the discussion of the Euler summation formula in Concrete Mathematics by Graham Knuth and Patashnik.  Hmmm MathWorld suggests that $a=1b=0$ simplifies to an expression involving the Euler-Mascheroni constant and the digamma function but I'm unsure whether the latter can be computed efficiently. (http://mathworld.wolfram.com/HarmonicSeries.html)"
88634,"Oh I see what you're doing now. I was being dumb. The ker df should have tipped me off. I was very confused at what some ambient space was doing. I usually call what you described an ""embedded deformation"" (maybe this is not standard?). To me an infinitesimal deformation of $X_0/k$ is a flat map $X\to Spec (k[x]/(x^2))$ with special fiber $X_0$. Hartshorne defines global deformation to be any flat map $X\to T$ where some fiber $X_t\simeq X_0$. My guess is that Naga wants specific conditions on T (integral?) otherwise every infinitesimal is global. OK my use of ""$x^2$"" was confusing since it also arises in $k[x]/(x^2)$ or equivalently in taking the linearization $df$. I should have used $f(x)=x^3$!"
88635,"Why post here? I think stackoverflow is the appropriate site. I thought this question was more generic than just software related."
88636,"Wow renewed respect for Wolfram Alpha!"
88637,"In fact I am not very easy with the adic representation. Is it easy to check that Thierry's proposal is fine ? Indeed the graph I proposed is homogeneous: Each node of level n has exactly k^n paths to the root of the diagram. But then I must admit that this poses some problem since this introduces eigenvalues for the associated adic transformation. So this adic transformation is rather an extension of the Bernoulli shift (probably a direct product with an odometer).  
 Thanks to both of you.
Thierry hence the graph is ""homogeneous"" in the sense that the number of paths to some node at level $n$ to a node at level $1$ is the same for all nodes at level $n$ ? "
88638,"In your final paragraph the key point is that you conjugate by an element that *centralizes* the edge group."
88641,"Dear Sebastian thank you. Would you suggest me some readings following the same line of your exposition? Dear Giuseppe I am sorry that I don't know any good reference for this but the part concerning horizontal bundles is contained in a book of Michor.. you can find it here: http://www.emis.de/monographs/KSM/kmsbookh.pdf"
88642,"Thank you Renato I like very much your answer. I need to find out my way through this material but surely your reference will be helpful "
88643,"For ring a power series it actually follows from Konstantin Ardakov's answer. By Bass' theorem if it is projective it is free but I'm not sure this helps much. Do you know the answer for rings of power series?"
88645,"You probably know that the answer is yes if you replace $\mathfrak{g}_{\geq 0}$ with $\mathfrak{g}_{\geq 1}$. This is actually true for any positively graded Lie algebra."
88647,"Apparently the OP already knew (from an earlier exercise) that the Boolean algebra $\mathcal P(\kappa)/$club is $\kappa$-complete.  So once you have an antichain `$\{s_\alpha:\alpha\xi}s_\alpha$ form a strictly decreasing $\kappa$-sequence.  If its infimum (which is known to exist) isn't 0 subtract it from all the $t_\xi$'s. Dear Andreas if you are suggesting that the maximality of  $\mathcal{S} $ is irrelevant I agree!"
88648,"This question is not that well-defined. I mean for a supersingular elliptic curve the deformation space is non-canonically isomorphic to  the formal spectrum of $W[[t]]$. If the question is ""can this be given a group structure"" then the answer is ""sure -- it's the open unit disc"". If this question is ""can this be given a canonical group structure"" then my answer is ""can you define canonical?"". I have problems with the rest of the question for similar reasons. But let me try and say something a bit more helpful. In the ordinary case the universal deformation space has a canonical point... ...in it namely the canonical lift. In the supersingular case I find it very very hard to tell one lift from the other especially if the lifts are $W$-valued; I spent ages staring at such things once and found it really difficult to tell any of them apart. If there's a natural group structure on the deformation space then whatever could the origin be? I can't guess. So I am skeptical about there being any natural sort of grou"
88649,"Good point. But any chance you could provide a few details for those of us who don't have easy access to Abraham and Marsden? Deane: you might like this (even legal) way to take a look

http://www.cds.caltech.edu/~marsden/books/Foundations_of_Mechanics.html With Stefan I highly appreciate the Marsden posts his books online and I hope others do too. But I also think alvarezpaiva should elaborate the answer for two reasons: (1) it is good practice to write such elaborations (2) the few mouse-clicks the better. Viewing things this way one still needs to demonstrate that the Euler-Lagrange equations are the geodesic equations for the metric. Abraham and Marsden demonstrate this in Theorem 3.7.1 (page 224) but using coordinates which Giuseppe was trying to avoid. It seems that showing this invariantly would still require the introduction of a connection no? (Presumably the connection mentioned by A&M in the remarks on the bottom of page 227 is the same one introduced by the two posters above - though I would need "
88650,"This is very unique to the torus.  What you are interested in is the mapping class group of the surface which is quite complicated and an active area of research.  I recommend looking at the introduction of the book ""A primer on mapping class groups"" by Farb and Margalit available here : http://www.math.utah.edu/~margalit/primer/ This can be appropriately generalized for closed surfaces.  The Dehn-Nielsen-Baer theorem says $MCG(\Sigma)$ is isomorphic to $Out(\pi_1(\Sigma))$.  For the torus we simply get $\pi_1=H_1$ and $Aut=Out$."
88651,"Thank you for the reference I will check if it is useful."
88652,"For flag varieties one has a much weaker ""diagonal"" vanishing of these cohomology groups cf section 5.2 in Brion & Kumar's Frobenius splitting book (in particular Theorem 5.2.9). One interesting thing is that this diagonal vanishing actually holds for some non-ample line bundles $L$ as well as for all ample ones."
88654,"Thank you. There is actually a different argument in http://arxiv.org/abs/alg-geom/9508009 (using the lift of Frobenius mod $p^2$)."
88658,"nice observation florian; probably you can post it as an answer ?; what is the explicit matrix on terms of $abc$ ?
 How does this relate to what used to be called Serre's Conjecture which was settled by Quillen and Suslin and later by Vaserstein and Suslin? OP: You're working over a principal ideal domain aren't you? Whenever you have $(abc)\in \mathbb F_2[t]^{1\times 3}$ with $gcd(abc)=1$ you will be able to (explicitly) complete this to a matrix in $GL_3(\mathbb F_2[t])$ (which in this case is the same as $SL_3$). Imposing any further conditions seems unnecessary. The slides you link to do this for an arbitrary ring and only there does the problem become difficult."
88659,"If $a_n=1$ for all $n$ then the answer is trivially yes (a spiral for example). But if $a_n=2$ for all $n$ then I don't think it works. If you start at $(00)$ then you can only visit vertices $(xy)$ where both $x$ and $y$ are divisible by 2. I'm not sure about $a_n=n$. I think it's an interesting question. Indeed using a checkerboard coloring the parity of the step size must be odd infinitely often if the path is to take at most omega many steps.  One can likely use to different colorings to get mod p results and one can use arguments to show that exponential growth and perhaps even polynomial growth for cubic and higher polynomials also will skip some squares.  Gerhard ""Ask Me About System Design"" Paseman 2012.02.16 I am inclined to say yes for a_n  = n since given any two squares and any pattern generated by the first m steps with the first square reached on the m+1st step there is always a path to reach the second square which does not tread on any previous squares.  A formal proof of the last statement sh"
88660,"TThe set of prime ideals of _any_ field is the one-point space.  Good point. This gives some intuitive evidence for the fact that Hochester's construction can give a ring that is an algebra over any field (since every space is in some sense a module over the one-point space)."
88661,"Thank you very much! One question. Hochster's construction is believable but rather unpleasantly intricate. Is there  any simpler way to do this? Is there a nice way of describing the necessary ring? I don't see any in Hochster's paper.."
88663,"Thank you.  Somehwat off topic I think it was Berman who wrote an article which was a catalog on the (isomorphism types of) three element binary groupoids  which Burris and Berman later analyzed and grouped by a variety of properties e.g. Abelian.  Is there an online version of the catalog that is not behind a paywall?  I was hoping to refer another poster to such a copy regarding a commutative idempotent groupoid they posted.  Gerhard ""Wants It For Himself Too"" Paseman 2012.02.16"
88666,"If $a$ and $c$ are large enough compared to the other coefficients then the left side will be positive for all $xy$ so there will be no solutions. Pietro has shown that if you take the full set of equations (or even a small chunk) you get infinitely many solutions. Simple cardinality considerations show it's impossible to have an uncountable infinity of solutions even taking all the equations. I see no question at a research level here so I vote to close.  Could you tell me why is this interesting?"
88667,"(quite a stupid answer but an answer)   It's a start... 
 actually I didn't mean to give a start  "
88668,"Now I hope Petr comes back and deletes his answers which should have been comments. Then this will whole thread will look much better to future viewers. But at least this way the answer will be clear."
88669,"Isn't $S := \mathbb{Q}_p$ and $M := \mathbb{C}_p$ (completion of the algebraic closure of $\mathbb{Q}_p$) a counterexample for the assertion that $M$ must be finitely generated ?  Konstantin Ardakov: How do you know that the series does not converge to an element of M? Ralph: your $S$ is not $p$-adically complete. ""$R$ is $p$-adically complete"" means ""$R$ is the projective limit of $R/p^nR$"" so $\mathbf{Z}_p$ is fine but $\mathbf{Q}_p$ isn't. Jerome Poineau: suppose for a contradiction it converges to some limit $m \in M$. Then $m = \sum_{i=1}^r s_iy_i$ for some _finite_ collection of elements $y_1\ldotsy_r$ in $X$.  Now the sequence converges to $\sum_{i=0}^r p^ix_i$ in $M / p^{r+1}M$ so $\sum_{i=1}^r s_iy_i \equiv \sum_{i=0}^rp^ix_i \mod p^{r+1}M$. Equate coefficients: the left hand side has at most $r$ non-zero entries in $S/ p^{r+1}S$ whereas the right hand side has $r+1$ non-zero entries.  AK: I'm sorry but I still don't get it. How do you equate coefficients? Are you saying that $X$ is free in $M/p^{r+1"
88670,"Not a suitable question for a research forum"
88673,"It is my understanding that the ""independent of l"" conjectures are still quite wide open. Weizhe Zheng 
Sur l'indépendance de  en cohomologie l-adique sur les corps locaux 
Annales scientifiques de l'ENS 42 fascicule 2 (2009) 291-334 
is probably among the most advanced results there are."
88674,"You're right; I misread the question. Thanks for the answer."
88675,"So the player with 2 is winning and happy. Neither player with 1 has anything to gain by switching to 2 or higher.... But if the first two  players chose 1 or 2 with probabilities $\frac14$ and $\frac34$ then the third player would only win $\frac1{16}+\frac9{3\cdot16}=\frac14$ of the time. So is it really stable?"
88677,"Are you using the Fell topology on the unitary dual?  I am looking at representations on a fixed vector space $V=l_2(X)$ so I suppose we fix some natural topology on the set of all maps from $G$ to $U(V)$ (but any information with any topology is fine)."
88678,"If by deformation you mean a 1-parameter family of representations starting with the regular rep. I don't think property FD gives this. Rather it shows that any representation is not isolated in the unitary dual. Since the term ""isolated"" is in your question I thought this might be one interpretation though.  Thanks for the reference I'm curios to see what kind of deformation they construct. That's very nice stuff anyway."
88679,"How do you know this is true? It's not true so ""with difficulty"" is the answer to your question. One way to prove that $k$ is an eigenvalue is exhibit an eigenvector. A square (4 cycle) labelled 1 x 1 x with x=-1 shows that -2 is an eigenvalue."
88680,"Hi guoyi 
Do you mean that you want to close up a 3D manifold with boundary? It seems to be a question related to ""prescribing Ricci curvature"". Yes Chih-Wei I wonder whether any bounded part of noncompact 3D manifold with positive Ricci can be closed up to a compact 3D compact manifold with positive Ricci but its original metric is unchanged.
I did not find such example yet. It has application in Ricci flow of 3D manifolds. You're not assuming that the metric is complete? Otherwise this was resolved by Schoen-Yau:
http://www.ams.org/mathscinet-getitem?mr=645740 If the metric is not complete is not a spherical ball (as a domain of a bigger spherical ball) a counterexample? Any connected noncompact manifold admits a noncomplete metric with Ric>0 (a result of Gromov). So if you know a 3-manifold which is not homeomorphic to a domain in a spherical form then you are done. I should be more precise:
Can any bounded domain in 3-dim noncompact manifold with Rc> 0 be ISOMETRICALLY imbedded into a 3-dim compact manifo"
88681,"Sándor: Thanks. Morally I agree with your suggestion but as the proof is currently written the definition of $W$ as an irreducible component of the indeterminacy locus requires that $f$ have a nonempty indeterminacy locus. Thus the proof has the form (more or less) ""let's assume that $f$ cannot be extended and use this assumption to extend $f$."" I find such setups vaguely displeasing so if you can see a way around this I'd love to hear it. Charles nice proof. Since you get the contradiction from extending $f$ to $W$ and you don't seem to use the contradictory assumption elsewhere you could even make it a  positive statement (avoid the contradictory setup)."
88683,"I really can't parse this question. I think the OP is trying to ask whether it is better to do classical dynamical systems of $N$ interacting particles instead of on $\mathbb{R}^{6N}$ where the position and momentum of each of the particles are specified but on something like $\mathbb{R}^{N(N-1)}$ where the relative distances and relative speeds of pairs of particles are specified. If that is the case the answer is probably ""no"" for sufficiently large number of particles: $N(N-1)$ is bigger than $6N if $N > 7$ so you have too many degrees of freedom and requires certain constraints (triangle inequality and what not).  Willie's right about my goal: I'm looking for the formula for an interdistance acceleration $d^{2}R_{12}/dt^{2}=f( \lbrace M_{i}R_{ij}dR_{ij}/dt \rbrace )$ for some number of point masses like eight. In principle my only solution is to first numerically embed these eight points into space and then to calculate this interdistance acceleration but I was hoping for an analytic method (which could a"
88684,"The complement of the Hopf link in $S^3$ is the same thing as the complement of the union of unit circle in the $x-y$ plane and the $z$-axis in ${\bf R}^3$. The stereographic projection $(xyz)\mapsto (2\cdot x2\cdot y 2\cdot zx^2+y^2+z^2-1)/(1+x^2+y^2+z^2)$ gives an explicit map $\mathbb R^3\to\mathbb S^3$. You could see what is the image of your thick torus. The coordinate lines of the natural parametrization become circle arcs... Have fun. "
88686,"Thank you all very much for your helpful comments. In the real case you need to change the definition of recurrence: there's 0 probability of ever hitting any specific point so you look instead at recurrence to a neighbourhood (i.e. a random walk is recurrent if for each initial point $x$ and for each $\epsilon > 0$ the walk almost surely returns to an $\epsilon$-neighbourhood of $x$. With this definition the results are the same as in the discrete case: the random walk is recurrent in 1 and 2 dimensions; and transient in 3 dimensions or higher. That was very helpful. Thank you very much. A related result is Rayleigh's theorem: start at the origin in the plane and make $n$ steps of length one with directions chosen independently and uniformly at each step. Then the probability of ending up at distance less than one from the origin is $1/(n+1)$. For an elegant recent proof by Bernardi see http://math.mit.edu/~bernardi/publications/Rayleigh.pdf.
 Look for some sources ... http://en.wikipedia.org/wiki/Random_wal"
88687,"There are algorithms but I know of nothing significantly faster than testing each candidate against n up to x.  Unfortunately the multiplicative property does not hold in a nice way for one to break down the problem and analyze it.  If you do find a nice estimate let me know; it will help me on a current project.  Gerhard ""Ask Me About Jacobsthal's Function"" Paseman 2012.02.16 Of course if you know phi(n) and just need a rough estimate a linear approximation works well for x much larger than n.  For x less than n that is interesting territory.  Gerhard ""Ask Me About System Design"" Paseman 2012.02.16"
88688,"(1) Why do you think additivity should hold?  and (2) Have you checked additivity for the disjoint union of two one-point spaces?    1) Well Hatcher (pag. 160) says that the reduced version of an homology theory should also satisfy the additivity axiom. Then reduced singular homology should do it right?  However your second question makes me think that additivity would imply that the (reduced) zeroth singular homology group for the disjoint union of two one-point spaces would be 0 wouldn't it? Then the complete version would equal 0+G (because of equivalence of reduced and complete homologies in dimension zero) while we know it is truly G+G (as the space has two arc components)... :(   Am I in trouble here?  I was confused because it appears you're using wedge sum (ie pointed spaces) rather than disjoint union (unpointed spaces).  Okay yes this kind of additivity holds.  In this case the reduced $H_0$ of a pointed space basically counts the number of path-components disjoint from the basepoint.  So if $n$ and"
88689,"Indeed.  Have you any significant information on the behaviour of the error term?  (I'm hoping to improve a bound related to http://mathoverflow.net/questions/37679/erik-westzynthiuss-cool-upper-bound-argument-update .)  Gerhard ""Ask Me About System Design"" Paseman 2012.02.16"
88693,"It is false if x is a real and the answer is non integral.  Are there integers x and n for which the evaluation does not succeed Will?  Gerhard ""Ask Me About System Design"" Paseman 2012.02.17 I was assuming that $x$ is a non-negative integer and finding the count up to and *including* $x$. I'll fix that but then I don't see the issue. For $y=1$ and $n=10$ $1-0-0+0=1.$ Even if you know the prime factorization one needs to take care especially in the case that n has a not small (> 9) number of distinct prime factors.  However this is (contrary to my gaffe above) somewhat faster than certain forms of testing I mentioned.  Gerhard ""Ask Me About Slow Methods"" Paseman 2012.02.17 Interesting question on the error in not doing any rounding. If there are $d$ factors then it is certainly less than $2^d$ in either direction. For absolute error it suffices to check $x$ up to $n$. I doubt that the error can exceed $d$ in either direction. I posed that as a new question: http://mathoverflow.net/questions/88777 This is fals"
88694,"Barinder: Thanks for adding more informations.  Mazur proves that if $N$ is prime and $>13$ then $X_0(N)(\mathbf{Q})$ is finite (Theorem 6). Right before Theorem 7 he says that one ""expects"" that if $N>163$ (""all $N$"") then $X_0(N)(\mathbf{Q})=\{0\infty\}$. The ""all $N$"" clause seems to indicate that he is including composite $N$ but for non-prime $N$ there are more than two cusps; maybe he just meant that there are only cusps. He refers to a paper of Ogg where the latter says that the then-known list up to $N=163$ ""may very well be a complete list"" of non-cusp points. Nowhere does he prove what you claim in the first sentence. Mazur does prove that if $N$ is any integer $\geq13$ then the only $\mathbf{Q}$-rational points on $X_1(N)$ are the cusps. Isn't the modular curve rational for some values of $N$? $X_0(N)$ are algebraic curves over rationals for all N.
 You might wish to look at Merel's paper (Bornes pour la torsion des courbes elliptiques sur les corps de nombres. 
*Invent. Math.* 124 (1996) no. 1-3 4"
88695,"Frequently new methods of computation gives new insight. This is certainly the case for homotopy groups of spheres. Yes but computing Heegaard Floer invariants is still not very efficient.  I'm not sure about knot genus calculations but tables of isotopy classes of knots were computed up to 16 crossings using classical methods. My understanding is that the algorithms for Heegaard Floer computations are not computationally practical for that number of crossings.  Thus the fact that they detect the unknot (much weaker than separating isotopy classes) adds nothing computational to the picture. Indeed! In a similar vein algorithms for computing the homotopy groups of spheres have been known for ages."
88697,"May I put in a word for Kim Froyshov? He used Seiberg-Witten theory in the days before either SW Floer or Heegaard Floer theory to define an invariant of homology 3-spheres and gave applications to 4-manifold topology. [The Seiberg-Witten equations and four-manifolds with boundary Math. Res. Lett. 3 (1996) no. 3 373–390.] Ozsvath-Szabo's d-invariant was inspired by the Froyshov invariant and is conjecturally equal to it. Of course the big Heegaard Floer package helps one use this invariant to full advantage. Actually I think the recent work of Kutluhan-Lee-Taubes on SW vs. Heegaard Floer implies that the d-invariant really is the Froyshov invariant."
88698,"I think the answer depends a lot on the acutal polytope. If this is formulated by $A\nabla u(x)\leq b$ then you should look closer on the set of $A\nabla u(x)\leq 0$. The polytope is described as $\{(p_1 \dotsp_d): 0\leq p_i\leq 1\sum p_i\leq k\}$ for some fixed k∈[0d]. It may be described in such a way for natural matrix $A$ with $2d+1$ rows. "
88700,"Thank you this is very interesting. I will read the papers."
